,Team,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA
0,Milwaukee Bucks,46,8,44,10,12.11,-1.27,10.84,113.5,102.0,11.5,105.2,0.268,0.42100000000000004,0.586,0.556,12.6,20.9,0.19699999999999998,0.485,12.1,81.3,0.171
1,Los Angeles Lakers,41,12,38,15,7.42,0.13,7.55,113.6,106.3,7.3,100.6,0.268,0.35,0.581,0.552,13.3,25.0,0.195,0.512,13.6,78.9,0.2
2,Boston Celtics,38,16,38,16,6.87,-0.84,6.03,113.1,106.2,6.9,99.4,0.256,0.38,0.57,0.532,12.2,23.6,0.205,0.508,13.7,77.8,0.212
3,Dallas Mavericks,33,22,37,18,5.98,-0.03,5.95,117.6,111.6,6.0,98.4,0.261,0.457,0.5820000000000001,0.546,11.1,24.4,0.203,0.519,10.7,76.9,0.17800000000000002
4,Los Angeles Clippers,37,18,37,18,5.62,0.14,5.76,112.7,107.3,5.4,102.3,0.289,0.363,0.57,0.529,12.8,24.1,0.22699999999999998,0.504,12.4,77.3,0.21
5,Toronto Raptors,40,15,38,17,6.33,-0.69,5.64,111.6,105.4,6.2,100.4,0.249,0.409,0.573,0.537,12.8,21.9,0.198,0.503,14.7,75.6,0.19699999999999998
6,Utah Jazz,36,18,34,20,4.07,0.05,4.13,112.4,108.3,4.1,98.8,0.267,0.4,0.586,0.552,13.6,21.3,0.205,0.51,11.0,79.5,0.18100000000000002
7,Houston Rockets,34,20,33,21,3.7,0.36,4.07,113.7,110.1,3.6,103.6,0.29100000000000004,0.48200000000000004,0.5760000000000001,0.535,12.4,22.7,0.22899999999999998,0.529,13.3,76.4,0.191
8,Denver Nuggets,38,17,34,21,3.76,0.01,3.78,112.4,108.5,3.9,97.2,0.233,0.341,0.5589999999999999,0.526,11.9,24.9,0.18100000000000002,0.522,13.0,77.2,0.191
9,Miami Heat,35,19,33,21,3.35,-0.39,2.96,112.3,108.9,3.4,97.9,0.297,0.408,0.585,0.545,13.5,20.7,0.231,0.518,12.1,79.7,0.20600000000000002
10,Oklahoma City Thunder,33,22,32,23,2.58,0.21,2.79,111.4,108.8,2.6,98.6,0.28800000000000003,0.348,0.575,0.5329999999999999,12.4,19.4,0.23199999999999998,0.52,12.5,77.2,0.165
11,Philadelphia 76ers,34,21,32,23,2.42,0.23,2.65,109.1,106.7,2.4,99.2,0.253,0.355,0.56,0.528,13.1,23.5,0.187,0.515,12.9,80.7,0.21
12,Indiana Pacers,32,23,31,24,2.15,-0.39,1.75,110.9,108.7,2.2,98.2,0.215,0.314,0.5660000000000001,0.535,11.7,20.2,0.16899999999999998,0.513,12.8,76.8,0.198
13,New Orleans Pelicans,23,32,25,30,-1.55,1.39,-0.16,110.7,112.2,-1.5,103.6,0.25,0.414,0.5670000000000001,0.537,13.6,23.9,0.184,0.531,12.2,78.0,0.214
14,San Antonio Spurs,23,31,25,29,-1.31,0.53,-0.78,112.1,113.4,-1.3,99.8,0.256,0.317,0.569,0.53,11.1,20.3,0.20600000000000002,0.539,11.2,79.1,0.18899999999999997
