,W,L,NRtg,Pace,FTr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA
0,46,8,11.5,105.2,0.268,0.586,0.556,12.6,20.9,0.197,0.485,12.1,81.3,0.171
1,41,12,7.3,100.6,0.268,0.581,0.552,13.3,25.0,0.195,0.512,13.6,78.9,0.2
2,38,16,6.9,99.4,0.256,0.57,0.532,12.2,23.6,0.205,0.508,13.7,77.8,0.212
3,33,22,6.0,98.4,0.261,0.5820000000000001,0.546,11.1,24.4,0.203,0.519,10.7,76.9,0.17800000000000002
4,37,18,5.4,102.3,0.289,0.57,0.529,12.8,24.1,0.227,0.504,12.4,77.3,0.21
5,40,15,6.2,100.4,0.249,0.573,0.537,12.8,21.9,0.198,0.503,14.7,75.6,0.197
6,36,18,4.1,98.8,0.267,0.586,0.552,13.6,21.3,0.205,0.51,11.0,79.5,0.181
7,34,20,3.6,103.6,0.29100000000000004,0.5760000000000001,0.535,12.4,22.7,0.229,0.529,13.3,76.4,0.191
8,38,17,3.9,97.2,0.233,0.5589999999999999,0.526,11.9,24.9,0.181,0.522,13.0,77.2,0.191
9,35,19,3.4,97.9,0.297,0.585,0.545,13.5,20.7,0.231,0.518,12.1,79.7,0.206
10,33,22,2.6,98.6,0.28800000000000003,0.575,0.5329999999999999,12.4,19.4,0.232,0.52,12.5,77.2,0.165
11,34,21,2.4,99.2,0.253,0.56,0.528,13.1,23.5,0.187,0.515,12.9,80.7,0.21
12,32,23,2.2,98.2,0.215,0.5660000000000001,0.535,11.7,20.2,0.16899999999999998,0.513,12.8,76.8,0.198
13,23,32,-1.5,103.6,0.25,0.5670000000000001,0.537,13.6,23.9,0.184,0.531,12.2,78.0,0.214
14,23,31,-1.3,99.8,0.256,0.569,0.53,11.1,20.3,0.206,0.539,11.2,79.1,0.189
15,25,28,-0.5,101.5,0.264,0.55,0.516,13.5,23.1,0.196,0.505,11.2,77.4,0.18
16,25,31,-1.8,100.9,0.238,0.562,0.525,11.3,22.1,0.191,0.52,10.8,74.8,0.204
17,22,33,-1.2,101.6,0.273,0.569,0.525,13.0,21.8,0.224,0.539,13.9,78.4,0.218
18,24,31,-1.5,97.8,0.249,0.531,0.494,11.5,22.1,0.19,0.527,13.7,78.6,0.16699999999999998
19,28,26,-1.4,103.1,0.228,0.564,0.5329999999999999,13.1,22.0,0.17600000000000002,0.523,12.6,77.8,0.218
20,21,33,-2.9,98.2,0.222,0.5579999999999999,0.527,13.2,22.0,0.17,0.541,13.7,78.1,0.218
21,16,37,-3.4,102.7,0.277,0.547,0.509,13.1,22.8,0.209,0.5329999999999999,13.3,77.1,0.22
22,19,36,-3.1,99.8,0.236,0.545,0.511,13.6,22.3,0.18,0.5429999999999999,16.0,75.9,0.228
23,19,38,-2.6,98.0,0.264,0.562,0.53,13.9,23.0,0.196,0.536,12.7,76.0,0.181
24,20,33,-4.0,103.0,0.262,0.5660000000000001,0.529,12.0,22.4,0.205,0.5539999999999999,13.3,74.8,0.227
25,17,38,-7.0,98.7,0.255,0.524,0.495,12.5,25.4,0.177,0.542,12.7,78.2,0.221
26,18,36,-7.6,96.4,0.249,0.537,0.503,13.4,24.0,0.18600000000000005,0.5479999999999999,13.2,74.5,0.159
27,12,43,-8.3,100.5,0.265,0.537,0.4920000000000001,13.0,21.4,0.215,0.55,13.9,76.0,0.188
28,15,41,-8.4,103.2,0.257,0.551,0.512,14.2,21.1,0.202,0.541,13.0,74.8,0.233
29,14,40,-8.9,98.8,0.22,0.5479999999999999,0.517,14.5,24.6,0.168,0.56,11.5,77.5,0.165
