Season,TeamName,BoxscoreIndex
2011,Denver Nuggets,201010270DEN
2011,Denver Nuggets,201010290NOH
2011,Denver Nuggets,201010300HOU
2011,Denver Nuggets,201011030DEN
2011,Denver Nuggets,201011050DEN
2011,Denver Nuggets,201011060DAL
2011,Denver Nuggets,201011080CHI
2011,Denver Nuggets,201011090IND
2011,Denver Nuggets,201011110DEN
2011,Denver Nuggets,201011150PHO
2011,Denver Nuggets,201011160DEN
2011,Denver Nuggets,201011180POR
2011,Denver Nuggets,201011200DEN
2011,Denver Nuggets,201011220GSW
2011,Denver Nuggets,201011260DEN
2011,Denver Nuggets,201011280DEN
2011,Denver Nuggets,201012010DEN
2011,Denver Nuggets,201012030DEN
2011,Denver Nuggets,201012050DEN
2011,Denver Nuggets,201012070CHA
2011,Denver Nuggets,201012080BOS
2011,Denver Nuggets,201012100TOR
2011,Denver Nuggets,201012120NYK
2011,Denver Nuggets,201012140DEN
2011,Denver Nuggets,201012160DEN
2011,Denver Nuggets,201012180DEN
2011,Denver Nuggets,201012220SAS
2011,Denver Nuggets,201012250OKC
2011,Denver Nuggets,201012260DEN
2011,Denver Nuggets,201012280DEN
2011,Denver Nuggets,201012290MIN
2011,Denver Nuggets,201101010DEN
2011,Denver Nuggets,201101030DEN
2011,Denver Nuggets,201101050LAC
2011,Denver Nuggets,201101060SAC
2011,Denver Nuggets,201101090DEN
2011,Denver Nuggets,201101110DEN
2011,Denver Nuggets,201101130DEN
2011,Denver Nuggets,201101150DEN
2011,Denver Nuggets,201101160SAS
2011,Denver Nuggets,201101190DEN
2011,Denver Nuggets,201101210DEN
2011,Denver Nuggets,201101230DEN
2011,Denver Nuggets,201101250WAS
2011,Denver Nuggets,201101260DET
2011,Denver Nuggets,201101280CLE
2011,Denver Nuggets,201101300PHI
2011,Denver Nuggets,201101310NJN
2011,Denver Nuggets,201102020DEN
2011,Denver Nuggets,201102040DEN
2011,Denver Nuggets,201102050MIN
2011,Denver Nuggets,201102070DEN
2011,Denver Nuggets,201102090GSW
2011,Denver Nuggets,201102100DEN
2011,Denver Nuggets,201102130MEM
2011,Denver Nuggets,201102140HOU
2011,Denver Nuggets,201102160MIL
2011,Denver Nuggets,201102220DEN
2011,Denver Nuggets,201102240DEN
2011,Denver Nuggets,201102250POR
2011,Denver Nuggets,201102280DEN
2011,Denver Nuggets,201103020DEN
2011,Denver Nuggets,201103030UTA
2011,Denver Nuggets,201103050LAC
2011,Denver Nuggets,201103100PHO
2011,Denver Nuggets,201103120DEN
2011,Denver Nuggets,201103140NOH
2011,Denver Nuggets,201103160ATL
2011,Denver Nuggets,201103180ORL
2011,Denver Nuggets,201103190MIA
2011,Denver Nuggets,201103210DEN
2011,Denver Nuggets,201103230DEN
2011,Denver Nuggets,201103250DEN
2011,Denver Nuggets,201103300DEN
2011,Denver Nuggets,201104010SAC
2011,Denver Nuggets,201104030LAL
2011,Denver Nuggets,201104050DEN
2011,Denver Nuggets,201104060DAL
2011,Denver Nuggets,201104080OKC
2011,Denver Nuggets,201104090DEN
2011,Denver Nuggets,201104110DEN
2011,Denver Nuggets,201104130UTA
2011,Denver Nuggets,201104170OKC
2011,Denver Nuggets,201104200OKC
